food,25
burger,13
place,13
new,12
good,11
staff,10
service,10
great,9
fries,9
order,9
time,8
get,8
Singapore,8
chicken,8
breakfast,7
menu,6
quick,6
want,6
back,6
like,6
also,6
something,5
Service,5
point,5
nice,5
tea,5
one,5
Burger,5
icecream,5
hotel,4
Good,4
Fast,4
always,4
Great,4
Chicken,4
McCafe,4
quality,4
would,4
fast,4
snack,4
understand,4
really,4
burgers,4
amazing,4
bad,4
Big,4
Meal,4
drink,4
coffee,4
lunch,4
love,4
trying,3
entry,3
Nice,3
eat,3
however,3
bacon,3
Macdonald,3
oil,3
Tried,3
location,3
hangout,3
money,3
Always,3
friendly,3
delicious,3
singapore,3
small,3
first,3
grilled,3
taste,3
need,3
try,3
visit,3
see,3
way,3
counter,3
Even,3
go,3
beef,3
still,3
Also,3
Yes,3
ordering,3
waiting,3
working,3
branches,3
Mccafe,3
people,3
cheap,3
cup,3
One,3
friends,3
rest,3
set,3
except,3
kids,3
meals,3
First,2
Parkway,2
Parade,2
Branch,2
Kit,2
Kat,2
kitkat,2
mcflurry,2
experience,2
needed,2
quickly,2
pay,2
branch,2
North,2
24x7,2
Easy,2
option,2
full,2
lot,2
bite,2
festive,2
walking,2
hang,2
Oily,2
frappe,2
Himalayas,2
afternoon,2
Try,2
Smoothies,2
cooking,2
mcmuffin,2
Orchard,2
Best,2
Lunch,2
river,2
Value,2
firm,2
favourite,2
big,2
yummy,2
late,2
easy,2
fabulous,2
little,2
spicy,2
even,2
customer,2
smile,2
job,2
chocolate,2
pie,2
onions,2
person,2
serve,2
corn,2
never,2
saw,2
fried,2
salad,2
went,2
cheese,2
lettuce,2
every,2
know,2
please,2
screen,2
usual,2
orders,2
show,2
keep,2
took,2
right,2
Fries,2
worse,2
away,2
well,2
served,2
tasted,2
tastes,2
Angus,2
angle,2
many,2
put,2
bit,2
expensive,2
system,2
dont,2
two,2
section,2
rude,2
sometimes,2
make,2
say,2
seen,2
lacking,2
name,2
told,2
collegue,2
McChicken,2
available,2
Never,2
find,2
tables,2
eating,2
stopped,2
different,2
located,2
meal,2
asked,2
found,2
ads,2
bought,2
minutes,2
outlet,2
tried,2
home,2
came,2
reasonable,2
fan,2
10,2
unhealthy,2
instead,2
usually,2
near,2
around,2
area,2
Fullerton,2
better,2
hawker,2
world,2
value,2
much,2
I'm,2
Convenient,1
McFlurry,1
Strange,1
hurry,1
OMG,1
BEST,1
BURGER,1
EVER,1
Local,1
High,1
Tech,1
average,1
Causeway,1
pt,1
Cheap,1
Different,1
Quick,1
Bite,1
interesting,1
mccafe,1
-good,1
GOOD,1
FOOD,1
Trying,1
Skip,1
grab,1
Awesome,1
Rude,1
Salty,1
Yummy,1
Protein,1
Move,1
Quiet,1
Sunday,1
reliable,1
New,1
Combination,1
